"Restaurante","Avaliação","Localização","Vendas da Rede","Crescimento Anual (%)","Nº de Filiais","Crescimento Anual Filiais (%)","Vendas Média das Filiais","Ano do Ranking","Franquia"
"Monkey Joe’s","Kids are encouraged to “monkey around” at this chain of family-oriented eateries; inflatable play areas, interactive games, obstacle courses, party rooms and hearty portions of pizza and ice cream are the draw. Parents and older kids are taken into consideration as well with a lounge area that features flat-screen TVs and complimentary Wi-Fi access. Aside from the kid-friendly menu, concession areas offer soft drinks, slushies, candies, snacks, pizzas and coffee and water for the adults. Monkey Joe’s was founded in 2004 as Jump ’n Joes Parties and Play, and later acquired by its current parent company, Raving Brands Inc.","Atlanta, Ga.",3.7e+07,34.5,44,63,1100000,2010,NA
"Pret A Manger","Pret a Manger, French for “ready to eat,” defines this grab-and-go concept, which offers an array of sandwiches, soups, salads and breakfast items in an automat-like setting. Each unit is outfitted with pressed aluminum floors and stainless-steel display cases, creating a clean, modern look. The food is made fresh daily and is preservative- and additive-free. Menu items include an organic egg salad sandwich with baby spinach and aged Parmesan cheese as well as an all-natural turkey club sandwich. Pret originated in the U.K., and U.S. outlets preserve the chain’s roots by hiring some European staff members. Even Pret’s baguettes are imported from a small town in France. The chain is set to open an outlet in Chicago this August but has no plans to franchise. McDonald’s sold its stake in Pret in 2008to private equity firm Bridgepoint Capital.","New York, N.Y.",2.9e+07,31.8,24,26.3,1400000,2010,NA
"Cafe Rio Mexican Grill","Cafe Rio Mexican Grill is a limited-service chain featuring recipes inspired by the traditional cooking of Mexico’s Rio Grande region, southern Texas and New Mexico. The food is fresh and flavorful, and every tortilla is made from scratch and hand rolled. All sauces, salad dressings, salsas and guacamole are also prepared fresh daily. The company operates freestanding units that range from 1,500 to 3,000 square feet with seating for approximately 70. Customers order at a large counter and can watch their food being prepared in what the chain calls an “open Mexican marketplace kitchen” as they make their way through the line. Guests have the option of ordering online and/or taking their food to go; catering is also provided. Steve and Tricia Stanley opened the first Cafe Rio in 1997 in St. George, Utah. In late 2004, Bob Kaufman, with SKM/Apax Partners, purchased the six-unit chain. The first outlet outside of Utah opened in 2006 in Gilbert, Arizona, and was followed by an outlet in Las Vegas.","Salt Lake City, Utah",3.1e+07,24,27,28.6,1300000,2010,NA
"Scooter’s Coffeehouse","Fussy coffee drinkers can choose from more than 30 premium coffee blends at this welcoming coffeehouse chain. And fussy franchisees have a choice of several formats. Small, double-drive-thru kiosks; inline models; endcap stores with drive-thrus; shopping mall formats; and specialty models designed for airports, sports complexes and other nontraditional venues. Scooter’s offers an informal, neighborhood space where patrons may relax and enjoy their special brew, espresso-based drink or blended coffee. ","Omaha, Neb.",3.9e+07,22.8,85,11.8,485000,2010,NA
"Pizza Patrón","This chain of pizza parlors offering Mexican-style pizzas has a strong connection to the Hispanic market. The concept’s tagline is “Mas Pizza. Menos Dinero.” Most outlets are located in majority Hispanic neighborhoods and the company is dedicated to “celebrating the diversity of the Latin culture and lifestyle.” The restaurants offer made-from-scratch pizzas in two sizes with a range of 14 different toppings, including chorizo and jalapeños. Each unit is equipped with fast-bake oven technology, allowing pizzas to be fully cooked in just over 3 minutes. The chain expanded into Atlanta in April and plans to continue opening units in that region. The newest prototype is a Quick-Service Pizza platform—a high-visibility takeout-only store constructed on a major highway in Dallas. ","Dallas, Texas",3.8e+07,22.6,95,11.8,432000,2010,NA
"Bajio Mexican Grill ","Bajio Mexican Grill is a limited-service chain specializing in fresh Mexican in a fast-casual environment. The chain operates freestanding and inline prototypes, which range from 2,400 to 3,000 square feet. Interiors are designed to evoke the spirit of the Bajio region with old copper pots, bunches of dried chili peppers, mosaic tile displays and colorful murals. Dave Tuomisto opened the first Bajio Mexican Grill in Provo, Utah, in 2002, modeling the concept after Qdoba Mexican Grill. Franchising began in 2003. The chain was purchased by Franchise Brands, a subsidiary of Doctor’s Associates Inc.—the owner and operator of Subway restaurants—in 2005. In late 2009, Abundant Brands acquired the chain for an undisclosed sum.","American Fork, Utah",4.3e+07,17.8,46,12.2,985000,2010,NA
"Perry’s Steakhouse & Grille","Perry’s is a high-end steakhouse with a hip, contemporary décor. The furnishings appeal to young upwardly mobile couples. In addition to a bright and stylish main dining room, each location has private rooms with names like “The Vault Room” and “The Vintage Room” for groups of 20 or fewer patrons. Further seating is available at the restaurant bars, which feature bold designs. The restaurants serve classic steakhouse fare such as filet mignon, New York strip steak, lump crab cakes, colossal fried shrimp and iceberg wedge salad. The steakhouse chain is a privately held brand and is part of the Perry’s Restaurant’s portfolio. Perry’s opened a new Dallas outlet in April of this year.","Houston, Texas",4e+07,17.6,7,16.7,6500000,2010,NA
"SanSai Japanese Grill","This quickservice chain specializes in traditional Japanese cuisine served at a value price in a casual, friendly environment. Founders Dan Burns and Yon Suk Lipsky opened the first SanSai in 2002 in Glendale, California. The concept initially expanded in Southern California and entered Missouri in 2003. Billed as a fusion of Eastern food and spirit with American service and convenience, SanSai offers better-for-you salads, plates, bowls and sushi made with fresh ingredients. Signature dishes include Oriental salad, linguine salad with Thai dressing, spicy chicken plate with charbroiled marinated chicken, tempura bowl and seared ahi tuna sashimi salad. ","Los Angeles, Calif.",3e+07,15.4,39,14.7,825000,2010,NA
"Capriotti’s Sandwich Shop ","Capriotti’s Sandwich Shop, “Simply the Best Since 1976,” is an emerging chain of limited-service sub sandwich shops. The quickservice concept offers up a variety of signature hot and cold subs made on fresh-baked rolls. The chain is privately held. Sandwich shops may inhabit all types of sites, but the chain is currently targeting high-traffic, high-visibility neighborhood retail centers or anchored retail centers from 1,000 to 1,500 square feet. Seating capacity ranges from 20 to 50. Nontraditional locations such as airports, hotels, convention centers and malls range from 650 to 1,200 square feet with limited or no seating. Takeout and catering services are available. Lois Margolet and her brother Alan opened their first restaurant in 1976 in Wilmington, Delaware. The sandwich shop was named Capriotti’s in honor of their grandfather, Philip Capriotti. Initially known for their fresh-roasted turkey, the concept eventually expanded its menu and added stores in the area.","Las Vegas, Nev.",3.2e+07,14.7,58,31.8,630000,2010,NA
"Firebirds Wood Fired Grill ","Firebirds Wood Fired Grill is a full-service, upscale yet family-friendly eatery with a Rocky Mountain lodge theme. It features a variety of steaks and seafood prepared on a wood-fired grill, along with dishes that combine the bold flavors, spices and sauces typical of the Rocky Mountain region and Aspen, Colorado. Units—averaging 6,500 square feet with seating for approximately 200—are designed to be airy, warm, open spaces with rustic yet contemporary dining areas. Large stone fireplaces are the centerpieces of each unit’s bar area, and there is an open kitchen. Founded by owner Dennis Thompson in 2000, the first Firebirds location was launched in Charlotte, North Carolina, as Firebirds Rocky Mountain Grill.","Charlotte, N.C.",49500000,13.8,17,13.3,3100000,2010,NA
"Papa Romano’s ","This family-oriented limited-service chain of carryout and delivery pizza parlors is known for its value-priced premium pizzas, pasta dinners and subs. Customers can pick specialty pizzas from the Select, Classic and Premier pizza menus or build-their-own creations with the crust of their choice. The restaurants are colorful and contemporary and can be constructed as carryout, delivery or sit-down operations.  Papa Romano’s was started in 1970 and is a part of Papa Romano’s Enterprises Inc. The franchise recently celebrated it’s 40th anniversary with a golden-ticket giveaway promotion—providing free pizza and Pepsi for a year to one customer.","Bingham Farms, Mich.",2.5e+07,13.6,54,10.2,440000,2010,NA
"Hurricane Grill & Wings ","Chris Russo established the first Hurricane Grill & Wings in Fort Pierce, Florida, in 1995. Over the next decade, Russo opened another two units before partnering with Michael Matakaetis, a former Dunkin’ Donuts executive. Russo and Matakaetis formed Hurricane Brand Holdings LLC in 2005. The team developed a franchising program that year and successfully sold 90 Hurricane franchises in 2006. In late 2008, the chain was acquired by Hurricane AMT, LLC. Since its inception, the chain has expanded across Florida. Hurricane Grill & Wings recently opened its first out-of-state unit in Arizona. The restaurant is a full-service varied-menu concept that features a beach-themed atmosphere with an eco-friendly focus. The company operates freestanding and inline sites that range from 1,800 to 2,200 square feet and seat up to 45 customers indoors and additional customers on outdoor patios. ","Stuart, Fla.",39800000,12.9,32,6.7,1300000,2010,NA
